Id CustomerId Surname Score Geography Gender Tenure Balance NumOfProducts Has IsActiveMember Age EstimatedSalary Exited
52 15763874 Ho 635 Spain Male 6.0 125489.4 1 1 0 37.0 118570.53 0
53 15696355 Cleveland 724 Germany Male 2.0 0.0 2 1 1 47.0 97057.28 0
54 15655952 Burke 550 France Male 6.0 155417.61 1 0 1 45.0 3449.22 0
55 15739850 Trentino 645 France Male 4.0 0.0 2 1 1 29.0 37605.9 0
56 15611338 Kashiwagi 714 Spain Male 0.0 85216.61 1 1 0 46.0 117369.52 1
57 15707861 Nucci 520 France Female 1.0 0.0 1 1 0 25.0 100598.98 0
58 15672237 Oluchi 633 France Male 6.0 0.0 1 1 1 37.0 17802.42 0
59 15657771 Ts'ui 537 France Male 4.0 113607.47 1 1 0 38.0 91094.46 0
60 15677783 Graham 764 Spain Male 9.0 104552.72 1 1 1 33.0 120853.83 1
61 15681026 Lucciano 795 Germany Female 9.0 0.0 2 1 0 44.0 107124.17 0
62 15566543 Aldridge 573 Spain Male 9.0 0.0 1 0 0 44.0 59207.41 1
63 15594612 Flynn 702 Spain Male 2.0 126524.11 1 1 0 33.0 136869.31 0
64 15814664 Scott 740 Germany Male 0.0 117593.48 2 0 0 34.0 113308.29 0
65 15642785 Douglas 479 France Male 4.0 83199.05 1 0 0 33.0 159334.93 0
66 15690164 Shao 627 Germany Female 4.0 125920.98 1 1 1 35.0 20393.44 0
67 15590213 Ch'en 479 Spain Male 5.0 118469.38 1 1 1 48.0 158590.25 0
68 15603794 Pugliesi 623 France Male 8.0 153537.57 2 0 0 40.0 23101.13 0
69 15733491 McGregor 512 Germany Female 6.0 0.0 1 0 1 41.0 112585.19 0
70 15806360 Hou 609 France Male 7.0 151027.05 2 1 0 42.0 119377.36 0
71 15587133 Thompson 518 France Male 3.0 144751.81 1 0 0 34.0 166472.81 0
72 15721377 Chou 833 France Female 4.0 155739.76 1 1 0 26.0 171552.02 0
73 15747927 Ch'in 758 France Male 7.0 0.0 2 1 1 27.0 157474.1 0
74 15806455 Miller 611 France Male 7.0 122531.86 1 1 0 33.0 13549.24 0
75 15695474 Barker 583 France Male 1.0 113957.01 2 1 0 50.0 196526.55 1
76 15666295 Smith 610 Germany Male 7.0 103377.81 1 1 0 33.0 84419.78 0
77 15656062 Azikiwe 637 France Female 9.0 0.0 2 1 1 32.0 24991.92 0
78 15579969 Mancini 683 France Female 9.0 93017.47 2 1 0 40.0 191608.97 0
79 15703563 P'eng 774 France Male 1.0 90022.85 1 0 1 58.0 2988.28 0
80 15692664 Diribe 677 France Female 6.0 74371.49 1 0 0 35.0 99595.67 0
81 15719276 T'ao 741 Spain Male 3.0 152039.7 1 1 1 42.0 53445.17 1
82 15672754 Burbidge 498 Germany Male 7.0 137145.12 1 1 0 46.0 115146.4 1
83 15768163 Griffin 655 Germany Female 4.0 0.0 1 0 0 40.0 151325.24 0
84 15656710 Cocci 613 France Male 7.0 90602.42 2 1 1 35.0 51695.41 0
85 15696175 Echezonachukwu 602 Germany Male 0.0 123841.49 2 1 0 36.0 96833.0 0
86 15586914 Nepean 659 France Male 1.0 183579.54 2 0 1 47.0 34047.54 0
87 15581736 Bartlett 673 Germany Male 8.0 180307.73 2 1 1 30.0 1914.41 0
88 15588839 Mancini 606 Spain Male 4.0 0.0 2 1 0 30.0 49337.84 0
89 15589329 Pirozzi 775 France Male 4.0 0.0 2 1 1 28.0 179436.6 0
90 15605622 McMillan 841 Spain Male 3.0 35016.6 1 1 0 33.0 53667.08 0
91 15798964 Nkemakonam 714 Germany Male 4.0 88381.21 1 1 0 53.0 69384.71 1
92 15769959 Ajuluchukwu 597 France Female 2.0 0.0 1 1 0 36.0 195192.4 0
93 15657105 Chukwualuka 726 Spain Male 7.0 155060.41 1 1 0 28.0 29179.52 0
94 15569266 Rahman 644 France Male 2.0 0.0 2 0 0 29.0 167773.55 0
95 15719294 Wood 800 France Female 5.0 0.0 2 1 0 39.0 96270.64 0
96 15606229 Obijiaku 771 France Male 10.0 57369.61 1 1 1 35.0 101699.77 0
97 15569892 Johnstone 516 France Male 7.0 0.0 1 0 1 36.0 42085.58 1
98 15584532 Liu 709 France Female 3.0 75075.31 2 1 0 42.0 92888.52 1
99 15682355 Sabbatini 772 Germany Male 0.0 130142.79 1 1 0 28.0 38190.78 0
100 15628319 Walker 792 France Female 10.0 129845.26 1 1 1 39.0 96444.88 0
